"행정구역별","항목",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"부산광역시","출생건수 (명)",41222,35848,30767,30117,28231,25681,25881,28426,26670,25110,27415,27759,28673,25831,26190,26645,24906,21480,19152
"부산광역시","조출생률 (천명당)",10.8,9.5,8.2,8.1,7.7,7.0,7.1,7.9,7.5,7.1,7.8,7.9,8.2,7.4,7.5,7.7,7.2,6.2,5.6
"부산광역시","사망건수 (명)",18318,18422,18688,18528,18722,18854,18983,19170,19385,18954,19708,19643,20534,20096,20230,20820,21074,21434,22570
"부산광역시","조사망률 (천명당)",4.8,4.9,5.0,5.0,5.1,5.2,5.2,5.3,5.4,5.3,5.6,5.6,5.9,5.8,5.8,6.0,6.1,6.2,6.6
"부산광역시","자연증가건수 (명)",22904,17426,12079,11589,9509,6827,6898,9256,7285,6156,7707,8116,8139,5735,5960,5825,3832,46,-3418
"부산광역시","자연증가율 (천명당)",6.0,4.6,3.2,3.1,2.6,1.9,1.9,2.6,2.0,1.7,2.2,2.3,2.3,1.6,1.7,1.7,1.1,0.0,-1.0
"부산광역시","혼인건수 (건)",23343,21825,20916,20027,19898,18973,20017,21484,20149,18614,20195,20224,20362,20734,18927,18553,17113,15677,14781
"부산광역시","조혼인율 (천명당)",6.1,5.8,5.6,5.4,5.4,5.2,5.5,6.0,5.6,5.2,5.7,5.8,5.8,5.9,5.4,5.3,4.9,4.5,4.3
"부산광역시","이혼건수 (건)",10129,10489,12065,14120,11334,9905,8953,8677,7908,8550,7645,7514,7501,7444,7345,6649,6859,6651,6678
"부산광역시","조이혼율 (천명당)",2.7,2.8,3.2,3.8,3.1,2.7,2.5,2.4,2.2,2.4,2.2,2.1,2.1,2.1,2.1,1.9,2.0,1.9,2.0
"중구","출생건수 (명)",593,540,468,404,392,303,303,328,309,298,355,324,298,266,264,257,211,174,163
"중구","조출생률 (천명당)",10.1,9.4,8.3,7.3,7.3,5.8,5.9,6.5,6.2,6.1,7.3,6.8,6.3,5.7,5.8,5.7,4.8,4.0,3.9
"중구","사망건수 (명)",340,386,328,367,364,346,356,332,378,385,380,351,365,349,374,357,392,374,367
"중구","조사망률 (천명당)",5.8,6.7,5.8,6.7,6.8,6.6,6.9,6.6,7.6,7.8,7.8,7.4,7.8,7.5,8.2,7.9,8.9,8.6,8.7
"중구","자연증가건수 (명)",253,154,140,37,28,-43,-53,-4,-69,-87,-25,-27,-67,-83,-110,-100,-181,-200,-204
"중구","자연증가율 (천명당)",4.3,2.7,2.5,0.7,0.5,-0.8,-1.0,-0.1,-1.4,-1.8,-0.5,-0.6,-1.4,-1.8,-2.4,-2.2,-4.1,-4.6,-4.8
"중구","혼인건수 (건)",370,415,394,396,332,256,292,284,283,262,293,296,315,305,297,261,214,224,184
"중구","조혼인율 (천명당)",6.3,7.2,7.0,7.2,6.2,4.9,5.7,5.6,5.7,5.3,6.1,6.2,6.7,6.6,6.5,5.8,4.8,5.2,4.4
"중구","이혼건수 (건)",204,208,216,259,224,180,158,164,160,159,146,147,157,142,123,94,119,103,108
"중구","조이혼율 (천명당)",3.5,3.6,3.8,4.7,4.2,3.4,3.1,3.3,3.2,3.2,3.0,3.1,3.3,3.1,2.7,2.1,2.7,2.4,2.6
"서구","출생건수 (명)",1410,1290,989,1036,891,834,796,835,712,619,631,675,674,584,608,599,574,458,426
"서구","조출생률 (천명당)",9.0,8.4,6.6,7.1,6.2,5.9,5.8,6.2,5.4,4.9,5.1,5.5,5.6,5.0,5.2,5.2,5.1,4.2,3.9
"서구","사망건수 (명)",963,958,988,945,944,967,904,938,946,959,885,1004,983,923,891,1039,1018,987,1052
"서구","조사망률 (천명당)",6.1,6.2,6.6,6.5,6.6,6.9,6.6,7.0,7.2,7.5,7.1,8.2,8.2,7.9,7.7,9.1,9.1,9.0,9.7
"서구","자연증가건수 (명)",447,332,1,91,-53,-133,-108,-103,-234,-340,-254,-329,-309,-339,-283,-440,-444,-529,-626
"서구","자연증가율 (천명당)",2.9,2.2,0.0,0.6,-0.4,-0.9,-0.8,-0.8,-1.8,-2.7,-2.0,-2.7,-2.6,-2.9,-2.4,-3.8,-4.0,-4.8,-5.8
"서구","혼인건수 (건)",992,993,870,823,762,704,685,720,673,646,667,644,616,655,554,557,476,435,420
"서구","조혼인율 (천명당)",6.3,6.5,5.8,5.6,5.3,5.0,5.0,5.4,5.1,5.1,5.4,5.3,5.1,5.6,4.8,4.9,4.2,4.0,3.9
"서구","이혼건수 (건)",492,462,499,587,493,400,393,334,343,331,321,320,278,281,255,253,278,232,226
"서구","조이혼율 (천명당)",3.1,3.0,3.3,4.0,3.4,2.8,2.8,2.5,2.6,2.6,2.6,2.6,2.3,2.4,2.2,2.2,2.5,2.1,2.1
"동구","출생건수 (명)",1138,984,892,831,716,622,615,681,628,603,627,667,639,552,520,482,436,373,321
"동구","조출생률 (천명당)",8.8,7.8,7.3,7.0,6.2,5.6,5.7,6.4,6.0,5.9,6.3,6.7,6.6,5.8,5.6,5.3,4.9,4.3,3.7
"동구","사망건수 (명)",779,788,840,820,819,755,754,759,804,786,838,787,853,811,804,856,810,831,848
"동구","조사망률 (천명당)",6.0,6.3,6.8,6.9,7.1,6.7,7.0,7.2,7.7,7.7,8.4,8.0,8.8,8.5,8.6,9.4,9.1,9.5,9.9
"동구","자연증가건수 (명)",359,196,52,11,-103,-133,-139,-78,-176,-183,-211,-120,-214,-259,-284,-374,-374,-458,-527
"동구","자연증가율 (천명당)",2.8,1.6,0.4,0.1,-0.9,-1.2,-1.3,-0.7,-1.7,-1.8,-2.1,-1.2,-2.2,-2.7,-3.0,-4.1,-4.2,-5.2,-6.1
"동구","혼인건수 (건)",832,761,732,669,584,535,606,629,613,555,523,561,539,506,493,422,385,361,384
"동구","조혼인율 (천명당)",6.5,6.1,6.0,5.6,5.0,4.8,5.6,5.9,5.9,5.4,5.2,5.7,5.5,5.3,5.3,4.6,4.3,4.1,4.5
"동구","이혼건수 (건)",386,383,423,483,344,342,283,308,252,277,262,235,232,246,241,228,215,229,178
"동구","조이혼율 (천명당)",3.0,3.0,3.4,4.0,3.0,3.1,2.6,2.9,2.4,2.7,2.6,2.4,2.4,2.6,2.6,2.5,2.4,2.6,2.1
"영도구","출생건수 (명)",1660,1504,1251,1208,1049,901,955,995,906,767,894,851,793,684,653,634,619,469,404
"영도구","조출생률 (천명당)",8.9,8.3,7.1,7.0,6.2,5.5,5.9,6.3,5.9,5.1,6.1,6.0,5.7,5.0,5.0,4.9,4.9,3.8,3.4
"영도구","사망건수 (명)",1106,1107,1156,1080,1068,1056,1067,1069,1071,1119,1143,1061,1103,1092,1115,1104,1111,1095,1144
"영도구","조사망률 (천명당)",5.9,6.1,6.5,6.3,6.3,6.4,6.6,6.8,7.0,7.5,7.8,7.4,7.9,8.1,8.5,8.6,8.8,8.9,9.6
"영도구","자연증가건수 (명)",554,397,95,128,-19,-155,-112,-74,-165,-352,-249,-210,-310,-408,-462,-470,-492,-626,-740
"영도구","자연증가율 (천명당)",3.0,2.2,0.5,0.7,-0.1,-0.9,-0.7,-0.5,-1.1,-2.3,-1.7,-1.5,-2.2,-3.0,-3.5,-3.7,-3.9,-5.1,-6.2
"영도구","혼인건수 (건)",1121,1079,991,912,938,809,848,905,804,770,800,757,703,698,611,546,521,436,413
