"구분1","구분2","서울","부산","인천","대구","대전","광주","울산","세종","경기","강원","충북","충남","전북","전남","경북","경남","제주"
"운영 서비스","노선체계","5.18","5.1","4.98","4.86","4.85","4.9","4.88","4.7","4.93","4.7","4.77","4.96","4.79","4.82","4.76","4.98","5.37"
"운영 서비스","배차시간간격","4.71","4.63","4.36","4.46","4.37","4.35","4.29","4.24","4.31","5.03","4.16","4.28","4.31","4.43","4.18","4.46","4.83"
"운영 서비스","소요시간","4.87","4.79","4.54","4.65","4.52","4.54","4.54","4.6","4.51","4.54","4.54","4.8","4.57","4.67","4.54","4.7","5.13"
"운영 서비스","이용요금","4.44","4.38","4.22","4.55","4.36","4.39","4.17","4.51","4.14","4.23","4.29","4.2","4.29","4.42","4.35","4.33","4.93"
"운영 서비스","도착시간표","4.78","4.75","4.47","4.72","4.63","4.52","4.49","4.78","4.42","4.52","4.58","4.71","4.55","4.63","4.52","4.66","5.16"
"운영 서비스","첫차,막차운영시간","4.69","4.59","4.55","4.32","4.43","4.47","4.37","4.46","4.41","4.36","4.29","4.53","4.39","4.49","4.3","4.54","4.83"
"운영 서비스","대중교통중심운영","4.9","4.65","4.51","4.56","4.59","4.43","4.31","4.38","4.54","4.12","4.35","4.47","4.39","4.52","4.32","4.56","4.93"
"이용환경 서비스","역무원 / 기사 친절도","4.55","4.6","4.32","4.33","4.7","4.46","4.34","4.7","4.47","5.31","4.39","4.54","4.5","4.26","4.33","4.59","4.88"
"이용환경 서비스","차량내부 이용편리","4.58","4.58","4.45","4.4","4.66","4.52","4.34","4.62","4.38","4.64","4.44","4.56","4.46","4.29","4.34","4.61","4.82"
"이용환경 서비스","정류장/역사 이용편리","4.58","4.58","4.46","4.4","4.68","4.53","4.32","4.53","4.38","4.63","4.43","4.57","4.46","4.28","4.33","4.61","4.84"
"이용환경 서비스","교통약자시설","4.57","4.49","4.33","4.51","4.55","4.45","4.36","4.53","4.29","4.53","4.43","4.64","4.47","4.51","4.37","4.54","5"
"쾌적환경 서비스","혼잡도","3.74","4","3.85","4.14","4.12","4.08","4.12","4.73","3.75","5.3","4.24","4.6","4.47","4.53","4.25","4.28","4.91"
"쾌적환경 서비스","쾌적성","4.15","4.25","4.05","4.26","4.38","4.3","4.25","4.78","4.04","4.6","4.46","4.69","4.5","4.54","4.4","4.49","5.18"
"쾌적환경 서비스","이용시설청결","4.41","4.4","4.2","4.45","4.5","4.39","4.45","4.89","4.19","4.61","4.51","4.77","4.57","4.7","4.45","4.57","5.29"
"정보제공 서비스","정보제공체계","5.12","4.84","4.85","4.9","4.83","4.76","4.87","4.97","4.85","4.59","4.7","4.8","4.68","4.84","4.62","4.86","5.32"
"정보제공 서비스","정보정확성","5.03","4.8","4.71","4.76","4.81","4.72","4.84","4.79","4.72","4.61","4.74","4.86","4.73","4.72","4.61","4.85","5.5"
"정보제공 서비스","변경정보제공","4.99","4.78","4.7","4.75","4.8","4.7","4.81","4.54","4.68","4.48","4.63","4.75","4.56","4.6","4.52","4.8","5.37"
"접근 서비스","접근거리·시간","4.84","4.79","4.8","4.76","4.67","4.71","4.82","4.95","4.76","4.73","4.85","5.06","4.92","4.92","4.8","4.89","5.46"
"환승 서비스","환승거리·시간","4.49","4.64","4.42","4.53","4.57","4.51","4.69","4.71","4.39","4.6","4.79","4.91","4.64","4.58","4.59","4.78","5.35"
"환승 서비스","환승체계구축","4.82","4.79","4.63","4.61","4.68","4.56","4.7","4.83","4.65","4.49","4.71","4.85","4.47","4.6","4.58","4.77","5.27"
"환승 서비스","환승정보제공","4.74","4.65","4.57","4.6","4.64","4.56","4.54","4.65","4.55","4.46","4.58","4.67","4.34","4.49","4.5","4.69","5.26"
"환승 서비스","환승요금","4.88","4.86","4.73","4.98","5.06","4.78","4.79","5.1","4.71","4.86","5.07","5.1","4.95","5.02","4.94","4.99","5.66"
"안전환경 서비스","(버스)안전확인","4.27","4.36","3.97","4.22","4.45","4.24","4.31","4.52","4.19","4.78","4.32","4.5","4.41","4.31","4.47","4.6","4.91"
"안전환경 서비스","(버스)안전운행","4.35","4.19","4.01","4.23","4.49","4.39","4.33","4.67","4.13","4.46","4.42","4.7","4.49","4.58","4.36","4.42","5.01"
"안전환경 서비스","(버스)약자 안전확인","3.74","4.16","4.01","4.16","4.37","4.25","4.29","4.58","3.62","4.43","4.43","4.61","4.41","4.56","4.36","4.46","5.01"
"안전환경 서비스","(지하철)안전확인","4.57","4.75","4.67","4.72","4.66","4.55","4.75","","4.68","4.69","","4.6","","","4.79","4.6",""
"안전환경 서비스","(지하철)안전운행","4.74","4.87","4.74","4.86","4.96","4.96","5.18","","4.69","4.86","","5.07","","","4.74","5.05",""
"안전환경 서비스","(지하철)비상시 대처","4.66","4.71","4.61","4.64","4.86","4.78","5.2","","4.54","4.79","","4.78","","","4.48","4.71",""
